ZENITH(DEG),AZIMUTH(DEG),VERT(dBi),HORI(dBi),TOTAL(dBi)
0.0,0.0,-999.00,3.16,3.16
1.0,0.0,-146.26,3.16,3.16
2.0,0.0,-140.26,3.15,3.15
3.0,0.0,-136.77,3.12,3.12
4.0,0.0,-134.33,3.09,3.09
5.0,0.0,-132.46,3.05,3.05
6.0,0.0,-130.97,2.99,2.99
7.0,0.0,-129.73,2.93,2.93
8.0,0.0,-128.69,2.86,2.86
9.0,0.0,-127.80,2.77,2.77
10.0,0.0,-127.04,2.67,2.67
11.0,0.0,-126.39,2.56,2.56
12.0,0.0,-125.83,2.43,2.43
13.0,0.0,-125.35,2.29,2.29
14.0,0.0,-124.95,2.14,2.14
15.0,0.0,-124.62,1.96,1.96
16.0,0.0,-124.35,1.76,1.76
17.0,0.0,-124.15,1.55,1.55
18.0,0.0,-124.00,1.31,1.31
19.0,0.0,-123.92,1.04,1.04
20.0,0.0,-123.91,0.75,0.75
21.0,0.0,-123.95,0.42,0.42
22.0,0.0,-124.06,0.06,0.06
23.0,0.0,-124.24,-0.34,-0.34
24.0,0.0,-124.51,-0.79,-0.79
25.0,0.0,-124.85,-1.29,-1.29
26.0,0.0,-125.29,-1.84,-1.84
27.0,0.0,-125.84,-2.46,-2.46
28.0,0.0,-126.52,-3.16,-3.16
29.0,0.0,-127.35,-3.94,-3.94
30.0,0.0,-128.35,-4.81,-4.81
31.0,0.0,-129.61,-5.78,-5.78
32.0,0.0,-131.19,-6.84,-6.84
33.0,0.0,-133.16,-7.95,-7.95
34.0,0.0,-135.58,-8.98,-8.98
35.0,0.0,-137.90,-9.71,-9.71
36.0,0.0,-138.10,-9.84,-9.84
37.0,0.0,-135.64,-9.27,-9.27
38.0,0.0,-132.77,-8.15,-8.15
39.0,0.0,-130.32,-6.78,-6.78
40.0,0.0,-128.29,-5.38,-5.38
41.0,0.0,-126.54,-4.03,-4.03
42.0,0.0,-125.08,-2.78,-2.78
43.0,0.0,-123.82,-1.64,-1.64
44.0,0.0,-122.72,-0.58,-0.58
45.0,0.0,-121.77,0.38,0.38
46.0,0.0,-120.92,1.26,1.26
47.0,0.0,-120.17,2.08,2.08
48.0,0.0,-119.50,2.83,2.83
49.0,0.0,-118.92,3.52,3.52
50.0,0.0,-118.40,4.16,4.16
51.0,0.0,-117.95,4.75,4.75
52.0,0.0,-117.57,5.30,5.30
53.0,0.0,-117.24,5.80,5.80
54.0,0.0,-116.97,6.27,6.27
55.0,0.0,-116.75,6.69,6.69
56.0,0.0,-116.59,7.09,7.09
57.0,0.0,-116.47,7.44,7.44
58.0,0.0,-116.42,7.77,7.77
59.0,0.0,-116.41,8.06,8.06
60.0,0.0,-116.46,8.31,8.31
61.0,0.0,-116.56,8.54,8.54
62.0,0.0,-116.71,8.73,8.73
63.0,0.0,-116.92,8.90,8.90
64.0,0.0,-117.18,9.03,9.03
65.0,0.0,-117.51,9.12,9.12
66.0,0.0,-117.90,9.19,9.19
67.0,0.0,-118.36,9.22,9.22
68.0,0.0,-118.89,9.22,9.22
69.0,0.0,-119.49,9.18,9.18
70.0,0.0,-120.17,9.11,9.11
71.0,0.0,-120.95,8.99,8.99
72.0,0.0,-121.81,8.84,8.84
73.0,0.0,-122.78,8.64,8.64
74.0,0.0,-123.86,8.39,8.39
75.0,0.0,-125.05,8.10,8.10
76.0,0.0,-126.37,7.75,7.75
77.0,0.0,-127.80,7.34,7.34
78.0,0.0,-129.33,6.86,6.86
79.0,0.0,-130.90,6.31,6.31
80.0,0.0,-132.42,5.66,5.66
81.0,0.0,-133.72,4.92,4.92
82.0,0.0,-134.65,4.05,4.05
83.0,0.0,-135.25,3.03,3.03
84.0,0.0,-135.66,1.82,1.82
85.0,0.0,-136.16,0.34,0.34
86.0,0.0,-136.97,-1.50,-1.50
87.0,0.0,-138.36,-3.92,-3.92
88.0,0.0,-140.73,-7.38,-7.38
89.0,0.0,-145.85,-13.36,-13.36
0.0,1.0,-32.00,3.16,3.16
1.0,1.0,-32.00,3.16,3.16
2.0,1.0,-32.02,3.14,3.15
3.0,1.0,-32.06,3.12,3.12
4.0,1.0,-32.10,3.09,3.09
5.0,1.0,-32.16,3.05,3.05
6.0,1.0,-32.24,2.99,2.99
7.0,1.0,-32.33,2.93,2.93
8.0,1.0,-32.43,2.86,2.86
9.0,1.0,-32.55,2.77,2.77
10.0,1.0,-32.68,2.67,2.67
11.0,1.0,-32.83,2.56,2.56
12.0,1.0,-33.00,2.43,2.43
13.0,1.0,-33.19,2.29,2.29
14.0,1.0,-33.39,2.13,2.14
15.0,1.0,-33.62,1.96,1.96
16.0,1.0,-33.87,1.76,1.76
17.0,1.0,-34.14,1.55,1.55
18.0,1.0,-34.44,1.31,1.31
19.0,1.0,-34.77,1.04,1.04
20.0,1.0,-35.12,0.75,0.75
21.0,1.0,-35.51,0.42,0.42
22.0,1.0,-35.92,0.06,0.06
23.0,1.0,-36.38,-0.34,-0.34
24.0,1.0,-36.87,-0.79,-0.79
25.0,1.0,-37.41,-1.29,-1.29
26.0,1.0,-37.99,-1.84,-1.84
27.0,1.0,-38.62,-2.46,-2.46
28.0,1.0,-39.30,-3.16,-3.16
29.0,1.0,-40.02,-3.94,-3.94
30.0,1.0,-40.78,-4.81,-4.81
31.0,1.0,-41.57,-5.79,-5.78
32.0,1.0,-42.36,-6.84,-6.84
33.0,1.0,-43.10,-7.95,-7.95
34.0,1.0,-43.73,-8.98,-8.98
35.0,1.0,-44.15,-9.71,-9.71
36.0,1.0,-44.29,-9.85,-9.85
37.0,1.0,-44.13,-9.27,-9.27
38.0,1.0,-43.71,-8.15,-8.15
39.0,1.0,-43.09,-6.79,-6.79
40.0,1.0,-42.37,-5.38,-5.38
41.0,1.0,-41.61,-4.04,-4.04
42.0,1.0,-40.86,-2.79,-2.79
43.0,1.0,-40.15,-1.64,-1.64
44.0,1.0,-39.48,-0.59,-0.59
45.0,1.0,-38.86,0.38,0.38
46.0,1.0,-38.31,1.26,1.26
47.0,1.0,-37.80,2.08,2.08
48.0,1.0,-37.36,2.83,2.83
49.0,1.0,-36.96,3.52,3.52
50.0,1.0,-36.61,4.16,4.16
51.0,1.0,-36.32,4.75,4.75
52.0,1.0,-36.07,5.30,5.30
53.0,1.0,-35.87,5.80,5.80
54.0,1.0,-35.71,6.27,6.27
55.0,1.0,-35.59,6.69,6.69
56.0,1.0,-35.52,7.08,7.08
57.0,1.0,-35.49,7.44,7.44
58.0,1.0,-35.50,7.76,7.76
59.0,1.0,-35.56,8.05,8.05
60.0,1.0,-35.66,8.31,8.31
61.0,1.0,-35.79,8.54,8.54
62.0,1.0,-35.98,8.73,8.73
63.0,1.0,-36.20,8.89,8.89
64.0,1.0,-36.47,9.02,9.02
65.0,1.0,-36.79,9.12,9.12
66.0,1.0,-37.15,9.19,9.19
67.0,1.0,-37.56,9.22,9.22
68.0,1.0,-38.02,9.22,9.22
69.0,1.0,-38.52,9.18,9.18
70.0,1.0,-39.07,9.10,9.10
71.0,1.0,-39.67,8.99,8.99
72.0,1.0,-40.31,8.83,8.83
73.0,1.0,-41.00,8.64,8.64
74.0,1.0,-41.73,8.39,8.39
75.0,1.0,-42.50,8.10,8.10
76.0,1.0,-43.29,7.75,7.75
77.0,1.0,-44.10,7.34,7.34
78.0,1.0,-44.92,6.86,6.86
79.0,1.0,-45.73,6.30,6.30
80.0,1.0,-46.54,5.66,5.66
81.0,1.0,-47.33,4.92,4.92
82.0,1.0,-48.12,4.05,4.05
83.0,1.0,-48.94,3.03,3.03
84.0,1.0,-49.83,1.81,1.81
85.0,1.0,-50.88,0.34,0.34
86.0,1.0,-52.20,-1.51,-1.51
87.0,1.0,-54.02,-3.93,-3.93
88.0,1.0,-56.81,-7.39,-7.39
89.0,1.0,-62.04,-13.36,-13.36
0.0,2.0,-25.98,3.16,3.16
1.0,2.0,-25.99,3.15,3.16
2.0,2.0,-26.01,3.14,3.15
3.0,2.0,-26.04,3.12,3.12
4.0,2.0,-26.08,3.08,3.09
5.0,2.0,-26.14,3.04,3.05
6.0,2.0,-26.22,2.99,2.99
7.0,2.0,-26.31,2.93,2.93
8.0,2.0,-26.41,2.85,2.86
9.0,2.0,-26.53,2.77,2.77
10.0,2.0,-26.66,2.67,2.67
11.0,2.0,-26.81,2.56,2.56
12.0,2.0,-26.98,2.43,2.43
13.0,2.0,-27.17,2.29,2.29
14.0,2.0,-27.38,2.13,2.13
15.0,2.0,-27.60,1.95,1.96
16.0,2.0,-27.85,1.76,1.76
17.0,2.0,-28.12,1.54,1.55
18.0,2.0,-28.42,1.30,1.31
19.0,2.0,-28.75,1.04,1.04
20.0,2.0,-29.10,0.74,0.75
21.0,2.0,-29.49,0.42,0.42
22.0,2.0,-29.91,0.05,0.06
23.0,2.0,-30.36,-0.35,-0.34
24.0,2.0,-30.86,-0.79,-0.79
25.0,2.0,-31.39,-1.29,-1.29
26.0,2.0,-31.97,-1.85,-1.84
27.0,2.0,-32.60,-2.47,-2.46
28.0,2.0,-33.28,-3.16,-3.16
29.0,2.0,-34.00,-3.95,-3.94
30.0,2.0,-34.76,-4.82,-4.81
31.0,2.0,-35.55,-5.79,-5.79
32.0,2.0,-36.34,-6.85,-6.84
33.0,2.0,-37.08,-7.95,-7.95
34.0,2.0,-37.71,-8.98,-8.98
35.0,2.0,-38.13,-9.71,-9.71
36.0,2.0,-38.27,-9.85,-9.85
37.0,2.0,-38.12,-9.27,-9.27
38.0,2.0,-37.69,-8.16,-8.15
39.0,2.0,-37.07,-6.79,-6.79
40.0,2.0,-36.35,-5.39,-5.38
41.0,2.0,-35.59,-4.04,-4.04
42.0,2.0,-34.84,-2.79,-2.79
43.0,2.0,-34.13,-1.64,-1.64
44.0,2.0,-33.46,-0.59,-0.59
45.0,2.0,-32.85,0.37,0.37
46.0,2.0,-32.29,1.26,1.26
47.0,2.0,-31.79,2.07,2.07
48.0,2.0,-31.34,2.82,2.82
49.0,2.0,-30.94,3.51,3.52
50.0,2.0,-30.60,4.15,4.15
51.0,2.0,-30.30,4.74,4.75
52.0,2.0,-30.05,5.29,5.29
53.0,2.0,-29.85,5.80,5.80
54.0,2.0,-29.69,6.26,6.26
55.0,2.0,-29.57,6.69,6.69
56.0,2.0,-29.50,7.08,7.08
57.0,2.0,-29.47,7.43,7.44
58.0,2.0,-29.49,7.76,7.76
59.0,2.0,-29.54,8.05,8.05
60.0,2.0,-29.64,8.31,8.31
61.0,2.0,-29.78,8.53,8.53
62.0,2.0,-29.96,8.72,8.73
63.0,2.0,-30.19,8.89,8.89
64.0,2.0,-30.46,9.02,9.02
65.0,2.0,-30.77,9.12,9.12
66.0,2.0,-31.14,9.18,9.18
67.0,2.0,-31.54,9.21,9.21
68.0,2.0,-32.00,9.21,9.21
69.0,2.0,-32.50,9.17,9.17
70.0,2.0,-33.05,9.10,9.10
71.0,2.0,-33.65,8.98,8.98
72.0,2.0,-34.30,8.83,8.83
73.0,2.0,-34.99,8.63,8.63
74.0,2.0,-35.72,8.38,8.38
75.0,2.0,-36.48,8.09,8.09
76.0,2.0,-37.28,7.74,7.74
77.0,2.0,-38.09,7.33,7.33
78.0,2.0,-38.90,6.85,6.85
79.0,2.0,-39.72,6.30,6.30
80.0,2.0,-40.52,5.65,5.65
81.0,2.0,-41.31,4.91,4.91
82.0,2.0,-42.10,4.04,4.04
83.0,2.0,-42.92,3.02,3.02
84.0,2.0,-43.81,1.81,1.81
85.0,2.0,-44.86,0.33,0.33
86.0,2.0,-46.19,-1.51,-1.51
87.0,2.0,-48.01,-3.93,-3.93
88.0,2.0,-50.79,-7.39,-7.39
89.0,2.0,-56.02,-13.37,-13.36
0.0,3.0,-22.46,3.15,3.16
1.0,3.0,-22.47,3.15,3.16
2.0,3.0,-22.49,3.13,3.15
3.0,3.0,-22.52,3.11,3.12
4.0,3.0,-22.56,3.08,3.09
5.0,3.0,-22.62,3.04,3.05
6.0,3.0,-22.70,2.98,2.99
7.0,3.0,-22.79,2.92,2.93
8.0,3.0,-22.89,2.85,2.86
9.0,3.0,-23.01,2.76,2.77
10.0,3.0,-23.14,2.66,2.67
11.0,3.0,-23.29,2.55,2.56
12.0,3.0,-23.46,2.42,2.43
13.0,3.0,-23.65,2.28,2.29
14.0,3.0,-23.86,2.12,2.13
15.0,3.0,-24.08,1.95,1.96
16.0,3.0,-24.33,1.75,1.76
17.0,3.0,-24.61,1.54,1.55
18.0,3.0,-24.90,1.30,1.31
19.0,3.0,-25.23,1.03,1.04
20.0,3.0,-25.58,0.73,0.75
21.0,3.0,-25.97,0.41,0.42
22.0,3.0,-26.39,0.05,0.06
23.0,3.0,-26.84,-0.36,-0.35
24.0,3.0,-27.34,-0.80,-0.79
25.0,3.0,-27.87,-1.30,-1.29
26.0,3.0,-28.45,-1.86,-1.85
27.0,3.0,-29.08,-2.48,-2.47
28.0,3.0,-29.76,-3.17,-3.16
29.0,3.0,-30.48,-3.95,-3.94
30.0,3.0,-31.25,-4.83,-4.82
31.0,3.0,-32.04,-5.80,-5.79
32.0,3.0,-32.82,-6.86,-6.85
33.0,3.0,-33.57,-7.96,-7.95
34.0,3.0,-34.19,-8.99,-8.98
35.0,3.0,-34.61,-9.72,-9.71
36.0,3.0,-34.76,-9.86,-9.85
37.0,3.0,-34.60,-9.28,-9.27
38.0,3.0,-34.17,-8.16,-8.15
39.0,3.0,-33.55,-6.80,-6.79
40.0,3.0,-32.83,-5.40,-5.39
41.0,3.0,-32.08,-4.05,-4.04
42.0,3.0,-31.33,-2.80,-2.79
43.0,3.0,-30.61,-1.65,-1.65
44.0,3.0,-29.94,-0.60,-0.60
45.0,3.0,-29.33,0.36,0.37
46.0,3.0,-28.77,1.25,1.25
47.0,3.0,-28.27,2.06,2.07
48.0,3.0,-27.82,2.81,2.82
49.0,3.0,-27.43,3.50,3.51
50.0,3.0,-27.08,4.14,4.15
51.0,3.0,-26.78,4.73,4.74
52.0,3.0,-26.54,5.28,5.28
53.0,3.0,-26.33,5.79,5.79
54.0,3.0,-26.17,6.25,6.25
55.0,3.0,-26.06,6.68,6.68
56.0,3.0,-25.99,7.07,7.07
57.0,3.0,-25.96,7.42,7.43
58.0,3.0,-25.97,7.75,7.75
59.0,3.0,-26.03,8.04,8.04
60.0,3.0,-26.12,8.29,8.30
61.0,3.0,-26.26,8.52,8.52
62.0,3.0,-26.45,8.71,8.72
63.0,3.0,-26.67,8.88,8.88
64.0,3.0,-26.94,9.01,9.01
65.0,3.0,-27.26,9.11,9.11
66.0,3.0,-27.62,9.17,9.17
67.0,3.0,-28.03,9.20,9.20
68.0,3.0,-28.48,9.20,9.20
69.0,3.0,-28.99,9.16,9.16
70.0,3.0,-29.54,9.09,9.09
71.0,3.0,-30.14,8.97,8.97
72.0,3.0,-30.78,8.82,8.82
73.0,3.0,-31.47,8.62,8.62
74.0,3.0,-32.20,8.37,8.37
75.0,3.0,-32.97,8.08,8.08
76.0,3.0,-33.76,7.73,7.73
77.0,3.0,-34.57,7.32,7.32
78.0,3.0,-35.39,6.84,6.84
79.0,3.0,-36.20,6.29,6.29
80.0,3.0,-37.01,5.64,5.64
81.0,3.0,-37.80,4.90,4.90
82.0,3.0,-38.59,4.03,4.03
83.0,3.0,-39.40,3.01,3.01
84.0,3.0,-40.30,1.80,1.80
85.0,3.0,-41.35,0.32,0.32
86.0,3.0,-42.67,-1.52,-1.52
87.0,3.0,-44.49,-3.94,-3.94
88.0,3.0,-47.28,-7.40,-7.40
89.0,3.0,-52.51,-13.38,-13.38
0.0,4.0,-19.96,3.14,3.16
1.0,4.0,-19.97,3.14,3.16
2.0,4.0,-19.99,3.12,3.15
3.0,4.0,-20.02,3.10,3.12
4.0,4.0,-20.07,3.07,3.09
5.0,4.0,-20.13,3.03,3.05
6.0,4.0,-20.20,2.97,2.99
7.0,4.0,-20.29,2.91,2.93
8.0,4.0,-20.39,2.84,2.86
9.0,4.0,-20.51,2.75,2.77
10.0,4.0,-20.65,2.65,2.67
11.0,4.0,-20.80,2.54,2.56
12.0,4.0,-20.97,2.41,2.43
13.0,4.0,-21.15,2.27,2.29
14.0,4.0,-21.36,2.11,2.13
15.0,4.0,-21.59,1.94,1.96
16.0,4.0,-21.84,1.74,1.76
17.0,4.0,-22.11,1.53,1.54
18.0,4.0,-22.41,1.29,1.30
19.0,4.0,-22.73,1.02,1.04
20.0,4.0,-23.09,0.72,0.74
21.0,4.0,-23.47,0.40,0.42
22.0,4.0,-23.89,0.04,0.05
23.0,4.0,-24.35,-0.37,-0.35
24.0,4.0,-24.84,-0.81,-0.80
25.0,4.0,-25.38,-1.31,-1.29
26.0,4.0,-25.96,-1.87,-1.85
27.0,4.0,-26.59,-2.49,-2.47
28.0,4.0,-27.27,-3.18,-3.17
29.0,4.0,-27.99,-3.96,-3.95
30.0,4.0,-28.75,-4.84,-4.82
31.0,4.0,-29.54,-5.81,-5.79
32.0,4.0,-30.33,-6.87,-6.85
33.0,4.0,-31.07,-7.97,-7.95
34.0,4.0,-31.70,-9.00,-8.98
35.0,4.0,-32.12,-9.73,-9.71
36.0,4.0,-32.26,-9.87,-9.85
37.0,4.0,-32.10,-9.29,-9.27
38.0,4.0,-31.68,-8.18,-8.16
39.0,4.0,-31.06,-6.81,-6.80
40.0,4.0,-30.34,-5.41,-5.39
41.0,4.0,-29.58,-4.06,-4.05
42.0,4.0,-28.83,-2.81,-2.80
43.0,4.0,-28.12,-1.67,-1.66
44.0,4.0,-27.45,-0.61,-0.60
45.0,4.0,-26.84,0.35,0.36
46.0,4.0,-26.28,1.23,1.24
47.0,4.0,-25.78,2.05,2.06
48.0,4.0,-25.33,2.80,2.81
49.0,4.0,-24.93,3.49,3.50
50.0,4.0,-24.59,4.13,4.14
51.0,4.0,-24.29,4.72,4.73
52.0,4.0,-24.04,5.27,5.27
53.0,4.0,-23.84,5.77,5.78
54.0,4.0,-23.68,6.24,6.24
55.0,4.0,-23.57,6.66,6.67
56.0,4.0,-23.50,7.05,7.06
57.0,4.0,-23.47,7.41,7.41
58.0,4.0,-23.48,7.73,7.74
59.0,4.0,-23.53,8.02,8.03
60.0,4.0,-23.63,8.28,8.28
61.0,4.0,-23.77,8.51,8.51
62.0,4.0,-23.96,8.70,8.70
63.0,4.0,-24.18,8.86,8.86
64.0,4.0,-24.45,8.99,8.99
65.0,4.0,-24.77,9.09,9.09
66.0,4.0,-25.13,9.16,9.16
67.0,4.0,-25.54,9.19,9.19
68.0,4.0,-25.99,9.18,9.19
69.0,4.0,-26.50,9.15,9.15
70.0,4.0,-27.05,9.07,9.07
71.0,4.0,-27.65,8.96,8.96
72.0,4.0,-28.29,8.80,8.80
73.0,4.0,-28.98,8.60,8.60
74.0,4.0,-29.71,8.36,8.36
75.0,4.0,-30.48,8.06,8.06
76.0,4.0,-31.27,7.71,7.71
77.0,4.0,-32.08,7.30,7.30
78.0,4.0,-32.90,6.82,6.82
79.0,4.0,-33.72,6.27,6.27
80.0,4.0,-34.52,5.63,5.63
81.0,4.0,-35.31,4.88,4.88
82.0,4.0,-36.10,4.01,4.02
83.0,4.0,-36.92,2.99,2.99
84.0,4.0,-37.81,1.78,1.78
85.0,4.0,-38.86,0.30,0.31
86.0,4.0,-40.18,-1.54,-1.54
87.0,4.0,-42.00,-3.96,-3.96
88.0,4.0,-44.79,-7.42,-7.42
89.0,4.0,-50.02,-13.39,-13.39
0.0,5.0,-18.03,3.13,3.16
1.0,5.0,-18.04,3.13,3.16
2.0,5.0,-18.06,3.11,3.15
3.0,5.0,-18.09,3.09,3.12
4.0,5.0,-18.14,3.06,3.09
5.0,5.0,-18.20,3.01,3.05
6.0,5.0,-18.27,2.96,2.99
7.0,5.0,-18.36,2.90,2.93
8.0,5.0,-18.46,2.82,2.86
9.0,5.0,-18.58,2.74,2.77
10.0,5.0,-18.71,2.64,2.67
11.0,5.0,-18.86,2.53,2.56
12.0,5.0,-19.03,2.40,2.43
13.0,5.0,-19.22,2.26,2.29
14.0,5.0,-19.43,2.10,2.13
15.0,5.0,-19.65,1.93,1.96
16.0,5.0,-19.90,1.73,1.76
17.0,5.0,-20.18,1.51,1.54
18.0,5.0,-20.48,1.27,1.30
19.0,5.0,-20.80,1.01,1.04
20.0,5.0,-21.15,0.71,0.74
21.0,5.0,-21.54,0.39,0.41
22.0,5.0,-21.96,0.02,0.05
23.0,5.0,-22.41,-0.38,-0.35
24.0,5.0,-22.91,-0.83,-0.80
25.0,5.0,-23.45,-1.32,-1.30
26.0,5.0,-24.03,-1.88,-1.85
27.0,5.0,-24.66,-2.50,-2.47
28.0,5.0,-25.33,-3.20,-3.17
29.0,5.0,-26.06,-3.98,-3.95
30.0,5.0,-26.82,-4.85,-4.82
31.0,5.0,-27.61,-5.82,-5.80
32.0,5.0,-28.40,-6.88,-6.85
33.0,5.0,-29.14,-7.99,-7.95
34.0,5.0,-29.77,-9.02,-8.98
35.0,5.0,-30.19,-9.75,-9.71
36.0,5.0,-30.33,-9.89,-9.85
37.0,5.0,-30.17,-9.31,-9.27
38.0,5.0,-29.75,-8.19,-8.16
39.0,5.0,-29.13,-6.83,-6.80
40.0,5.0,-28.41,-5.42,-5.40
41.0,5.0,-27.65,-4.08,-4.06
42.0,5.0,-26.90,-2.83,-2.81
43.0,5.0,-26.19,-1.68,-1.67
44.0,5.0,-25.52,-0.63,-0.62
45.0,5.0,-24.91,0.33,0.35
46.0,5.0,-24.35,1.22,1.23
47.0,5.0,-23.85,2.03,2.04
48.0,5.0,-23.40,2.78,2.79
49.0,5.0,-23.01,3.47,3.48
50.0,5.0,-22.66,4.11,4.12
51.0,5.0,-22.36,4.70,4.71
52.0,5.0,-22.12,5.25,5.26
53.0,5.0,-21.91,5.75,5.76
54.0,5.0,-21.75,6.22,6.23
55.0,5.0,-21.64,6.65,6.65
56.0,5.0,-21.57,7.04,7.04
57.0,5.0,-21.54,7.39,7.40
58.0,5.0,-21.55,7.71,7.72
59.0,5.0,-21.61,8.00,8.01
60.0,5.0,-21.71,8.26,8.27
61.0,5.0,-21.85,8.49,8.49
62.0,5.0,-22.03,8.68,8.68
63.0,5.0,-22.26,8.84,8.85
64.0,5.0,-22.53,8.97,8.98
65.0,5.0,-22.84,9.07,9.07
66.0,5.0,-23.20,9.14,9.14
67.0,5.0,-23.61,9.17,9.17
68.0,5.0,-24.07,9.16,9.17
69.0,5.0,-24.57,9.13,9.13
70.0,5.0,-25.12,9.05,9.05
71.0,5.0,-25.72,8.94,8.94
72.0,5.0,-26.37,8.78,8.78
73.0,5.0,-27.06,8.58,8.58
74.0,5.0,-27.79,8.34,8.34
75.0,5.0,-28.55,8.04,8.04
76.0,5.0,-29.35,7.69,7.69
77.0,5.0,-30.16,7.28,7.28
78.0,5.0,-30.98,6.80,6.80
79.0,5.0,-31.79,6.25,6.25
80.0,5.0,-32.59,5.61,5.61
81.0,5.0,-33.38,4.86,4.86
82.0,5.0,-34.17,3.99,3.99
83.0,5.0,-34.99,2.97,2.97
84.0,5.0,-35.89,1.76,1.76
85.0,5.0,-36.93,0.28,0.28
86.0,5.0,-38.26,-1.56,-1.56
87.0,5.0,-40.08,-3.98,-3.98
88.0,5.0,-42.86,-7.44,-7.44
89.0,5.0,-48.09,-13.41,-13.41
0.0,6.0,-16.45,3.12,3.16
1.0,6.0,-16.46,3.11,3.16
2.0,6.0,-16.48,3.10,3.15
3.0,6.0,-16.51,3.08,3.12
4.0,6.0,-16.56,3.04,3.09
5.0,6.0,-16.62,3.00,3.05
6.0,6.0,-16.69,2.95,2.99
7.0,6.0,-16.78,2.88,2.93
8.0,6.0,-16.88,2.81,2.86
9.0,6.0,-17.00,2.72,2.77
10.0,6.0,-17.14,2.62,2.67
11.0,6.0,-17.29,2.51,2.56
12.0,6.0,-17.46,2.39,2.43
13.0,6.0,-17.64,2.24,2.29
14.0,6.0,-17.85,2.09,2.13
15.0,6.0,-18.08,1.91,1.95
16.0,6.0,-18.33,1.71,1.76
17.0,6.0,-18.60,1.50,1.54
18.0,6.0,-18.90,1.26,1.30
19.0,6.0,-19.22,0.99,1.03
20.0,6.0,-19.58,0.70,0.74
21.0,6.0,-19.96,0.37,0.41
22.0,6.0,-20.38,0.01,0.05
23.0,6.0,-20.84,-0.40,-0.36
24.0,6.0,-21.33,-0.84,-0.80
25.0,6.0,-21.87,-1.34,-1.30
26.0,6.0,-22.45,-1.90,-1.86
27.0,6.0,-23.08,-2.52,-2.48
28.0,6.0,-23.76,-3.21,-3.18
29.0,6.0,-24.48,-4.00,-3.96
30.0,6.0,-25.25,-4.87,-4.83
31.0,6.0,-26.04,-5.84,-5.80
32.0,6.0,-26.82,-6.90,-6.86
33.0,6.0,-27.57,-8.01,-7.96
34.0,6.0,-28.19,-9.04,-8.98
35.0,6.0,-28.61,-9.77,-9.71
36.0,6.0,-28.76,-9.91,-9.85
37.0,6.0,-28.60,-9.33,-9.28
38.0,6.0,-28.17,-8.21,-8.17
39.0,6.0,-27.56,-6.85,-6.81
40.0,6.0,-26.84,-5.44,-5.41
41.0,6.0,-26.08,-4.10,-4.07
42.0,6.0,-25.33,-2.85,-2.82
43.0,6.0,-24.62,-1.70,-1.68
44.0,6.0,-23.95,-0.65,-0.63
45.0,6.0,-23.33,0.31,0.33
46.0,6.0,-22.78,1.20,1.22
47.0,6.0,-22.28,2.01,2.03
48.0,6.0,-21.83,2.76,2.78
49.0,6.0,-21.43,3.45,3.47
50.0,6.0,-21.09,4.09,4.11
51.0,6.0,-20.79,4.68,4.69
52.0,6.0,-20.54,5.23,5.24
53.0,6.0,-20.34,5.73,5.74
54.0,6.0,-20.18,6.20,6.21
55.0,6.0,-20.07,6.62,6.63
56.0,6.0,-20.00,7.01,7.02
57.0,6.0,-19.97,7.37,7.38
58.0,6.0,-19.98,7.69,7.70
59.0,6.0,-20.04,7.98,7.99
60.0,6.0,-20.14,8.24,8.25
61.0,6.0,-20.28,8.46,8.47
62.0,6.0,-20.46,8.66,8.66
63.0,6.0,-20.69,8.82,8.82
64.0,6.0,-20.96,8.95,8.95
65.0,6.0,-21.27,9.05,9.05
66.0,6.0,-21.64,9.11,9.12
67.0,6.0,-22.04,9.14,9.15
68.0,6.0,-22.50,9.14,9.14
69.0,6.0,-23.00,9.10,9.10
70.0,6.0,-23.56,9.03,9.03
71.0,6.0,-24.15,8.91,8.91
72.0,6.0,-24.80,8.76,8.76
73.0,6.0,-25.49,8.56,8.56
74.0,6.0,-26.22,8.31,8.31
75.0,6.0,-26.99,8.02,8.02
76.0,6.0,-27.78,7.67,7.67
77.0,6.0,-28.59,7.26,7.26
78.0,6.0,-29.41,6.78,6.78
79.0,6.0,-30.22,6.22,6.22
80.0,6.0,-31.03,5.58,5.58
81.0,6.0,-31.82,4.84,4.84
82.0,6.0,-32.61,3.97,3.97
83.0,6.0,-33.42,2.95,2.95
84.0,6.0,-34.32,1.73,1.73
85.0,6.0,-35.37,0.26,0.26
86.0,6.0,-36.69,-1.59,-1.58
87.0,6.0,-38.51,-4.01,-4.01
88.0,6.0,-41.30,-7.47,-7.46
89.0,6.0,-46.53,-13.44,-13.44
0.0,7.0,-15.12,3.10,3.16
1.0,7.0,-15.12,3.10,3.16
2.0,7.0,-15.14,3.08,3.15
3.0,7.0,-15.18,3.06,3.12
4.0,7.0,-15.22,3.02,3.09
5.0,7.0,-15.28,2.98,3.05
6.0,7.0,-15.36,2.93,2.99
7.0,7.0,-15.45,2.87,2.93
8.0,7.0,-15.55,2.79,2.85
9.0,7.0,-15.67,2.70,2.77
10.0,7.0,-15.80,2.61,2.67
11.0,7.0,-15.95,2.49,2.56
12.0,7.0,-16.12,2.37,2.43
13.0,7.0,-16.31,2.23,2.29
14.0,7.0,-16.52,2.07,2.13
15.0,7.0,-16.74,1.89,1.95
16.0,7.0,-16.99,1.70,1.75
