Timestamp	Call	MHz	SNR	Drift	Grid	Pwr	Reporter	RGrid	km	az
 2019-04-05 10:42 	 ON4LUK 	 14.097199 	 -2 	 0 	 JO11 	 0.2 	 IS0KYB1 	 JM49jn 	 1400 	 159 
 2019-04-05 10:42 	 G4HRM 	 14.097167 	 0 	 0 	 IO94mm 	 0.2 	 IS0KYB1 	 JM49jn 	 1816 	 152 
 2019-04-05 10:42 	 SM0FXK 	 14.097151 	 -1 	 0 	 JO99eh 	 2 	 IS0KYB1 	 JM49jn 	 2297 	 201 
 2019-04-05 10:42 	 G6KIZ 	 14.097134 	 -8 	 3 	 JO02fu 	 0.2 	 IS0KYB1 	 JM49jn 	 1609 	 153 
 2019-04-05 10:42 	 DL1FX 	 14.097124 	 -1 	 0 	 JN49gr 	 0.1 	 IS0KYB1 	 JM49jn 	 1131 	 179 
 2019-04-05 10:42 	 G0CCL 	 14.097121 	 +15 	 0 	 JO02bf 	 5 	 IS0KYB1 	 JM49jn 	 1557 	 151 
 2019-04-05 10:42 	 M0JBA 	 14.097116 	 +8 	 -1 	 IO93ss 	 2 	 IS0KYB1 	 JM49jn 	 1727 	 152 
 2019-04-05 10:42 	 G7RHF 	 14.097094 	 +17 	 0 	 IO82qk 	 5 	 IS0KYB1 	 JM49jn 	 1677 	 144 
 2019-04-05 10:42 	 LA7EPA 	 14.097082 	 -7 	 0 	 JP99of 	 5 	 IS0KYB1 	 JM49jn 	 3356 	 196 
 2019-04-05 10:42 	 LA3ZA 	 14.097079 	 -4 	 0 	 JO59fu 	 0.2 	 IS0KYB1 	 JM49jn 	 2259 	 184 
 2019-04-05 10:42 	 G7CKX 	 14.097058 	 -11 	 0 	 IO83wb 	 0.2 	 IS0KYB1 	 JM49jn 	 1715 	 147 
 2019-04-05 10:42 	 PD7JK 	 14.097049 	 -1 	 0 	 JO21ju 	 0.2 	 IS0KYB1 	 JM49jn 	 1401 	 166 
 2019-04-05 10:42 	 DD5XX 	 14.097043 	 -19 	 0 	 JN48pr 	 0.01 	 IS0KYB1 	 JM49jn 	 1020 	 182 
 2019-04-05 10:42 	 G0WTZ 	 14.097040 	 -7 	 -3 	 IO92 	 0.2 	 IS0KYB1 	 JM49jn 	 1621 	 148 
 2019-04-05 10:42 	 PH1A 	 14.097018 	 -8 	 -2 	 JO21hu 	 0.2 	 IS0KYB1 	 JM49jn 	 1404 	 165 
 2019-04-05 10:40 	 DK3DUA 	 14.097153 	 -16 	 0 	 JO61 	 0.2 	 IS0KYB1 	 JM49jn 	 1364 	 195 
 2019-04-05 10:40 	 DL2XL/P 	 14.097143 	 -10 	 -1 	 JN39vd 	 0.2 	 IS0KYB1 	 JM49jn 	 1069 	 175 
 2019-04-05 10:40 	 G4EMA 	 14.097143 	 -1 	 0 	 IO93 	 0.2 	 IS0KYB1 	 JM49jn 	 1717 	 150 
 2019-04-05 10:40 	 PD1AJJ 	 14.097128 	 -14 	 3 	 JO21ht 	 0.2 	 IS0KYB1 	 JM49jn 	 1399 	 165 
 2019-04-05 10:40 	 OZ1BZS 	 14.097128 	 -3 	 -1 	 JO46ld 	 5 	 IS0KYB1 	 JM49jn 	 1844 	 180 
 2019-04-05 10:40 	 M0DMC 	 14.097114 	 +3 	 -1 	 JO02be 	 0.05 	 IS0KYB1 	 JM49jn 	 1553 	 151 
 2019-04-05 10:40 	 M1SPY 	 14.097110 	 -6 	 0 	 IO94 	 0.2 	 IS0KYB1 	 JM49jn 	 1814 	 152 
 2019-04-05 10:40 	 G1FXB 	 14.097102 	 +14 	 -1 	 IO91 	 0.1 	 IS0KYB1 	 JM49jn 	 1528 	 146 
 2019-04-05 10:40 	 OH5XO 	 14.097097 	 +8 	 0 	 KP41 	 0.5 	 IS0KYB1 	 JM49jn 	 2797 	 219 
